epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,173.016,3.9175,4.12969,4.02319,0.05597,0.03338,0.03289,0.012,3.5065,3.70218,3.89816,0.00330969,0.00330969,0.00330969
2,335.716,2.52677,2.74144,3.43595,0.22335,0.12089,0.06626,0.02802,2.36513,2.52642,3.44876,0.0066414,0.0066414,0.0066414
3,496.023,1.96989,2.25899,3.19622,0.34194,0.17301,0.14111,0.07566,2.02699,2.38985,3.331,0.00996661,0.00996661,0.00996661
4,657.859,1.67782,1.85968,3.00554,0.5016,0.34643,0.3177,0.20096,1.52514,1.59787,3.12048,0.00997803,0.00997803,0.00997803
5,817.343,1.52971,1.61972,2.86065,0.44294,0.34896,0.35269,0.23007,1.50009,1.54338,3.00338,0.00996097,0.00996097,0.00996097
6,977.157,1.47415,1.53277,2.76068,0.58155,0.39328,0.41277,0.27722,1.37897,1.37062,2.82473,0.00993906,0.00993906,0.00993906
7,1135.8,1.40253,1.43375,2.70403,0.48631,0.39754,0.40363,0.27403,1.35712,1.37166,2.78828,0.00991232,0.00991232,0.00991232
8,1294.57,1.35965,1.35825,2.63946,0.53091,0.43023,0.4358,0.30022,1.28391,1.29177,2.71703,0.00988079,0.00988079,0.00988079
9,1453.67,1.3242,1.31562,2.60361,0.56876,0.42021,0.44664,0.30564,1.25829,1.30729,2.69503,0.00984449,0.00984449,0.00984449
10,1611.61,1.29077,1.28618,2.55516,0.513,0.41687,0.45339,0.31116,1.22581,1.29077,2.65454,0.00980345,0.00980345,0.00980345
11,1773.38,1.27131,1.24131,2.53691,0.58628,0.46521,0.49432,0.34275,1.20657,1.13728,2.59886,0.00975773,0.00975773,0.00975773
12,1935.27,1.24898,1.21722,2.49035,0.58803,0.4665,0.49701,0.34997,1.17795,1.14345,2.61212,0.00970736,0.00970736,0.00970736
13,2100.36,1.22294,1.18239,2.49591,0.65001,0.46265,0.49759,0.35751,1.14915,1.11938,2.59064,0.00965239,0.00965239,0.00965239
14,2261.04,1.2085,1.15154,2.46294,0.59473,0.46365,0.50892,0.36666,1.14043,1.11715,2.55305,0.00959289,0.00959289,0.00959289
15,2424.49,1.21099,1.16675,2.46604,0.6439,0.47728,0.52322,0.37847,1.13385,1.06795,2.5386,0.00952889,0.00952889,0.00952889
16,2595.21,1.17571,1.12608,2.43744,0.63173,0.4819,0.52792,0.38143,1.14267,1.056,2.5886,0.00946048,0.00946048,0.00946048
17,2764.73,1.16257,1.10349,2.42859,0.66975,0.48031,0.53445,0.3858,1.1074,1.03403,2.50164,0.00938772,0.00938772,0.00938772
18,2932.46,1.15465,1.08999,2.41078,0.64671,0.5112,0.53695,0.39268,1.07658,1.00721,2.50085,0.00931067,0.00931067,0.00931067
19,3101.64,1.14102,1.08001,2.40371,0.65301,0.49084,0.52581,0.38114,1.07968,1.03387,2.49005,0.00922942,0.00922942,0.00922942
20,3266.18,1.12877,1.05922,2.3888,0.65506,0.48316,0.53286,0.38395,1.09368,1.01937,2.46941,0.00914405,0.00914405,0.00914405
21,3432.67,1.1181,1.0467,2.36683,0.67847,0.50451,0.54636,0.40105,1.04828,0.9809,2.46938,0.00905463,0.00905463,0.00905463
22,3591.12,1.10622,1.03888,2.35459,0.67432,0.50441,0.55333,0.40743,1.05301,0.97149,2.43363,0.00896127,0.00896127,0.00896127
23,3752.16,1.10892,1.0396,2.33756,0.67007,0.5011,0.55796,0.41353,1.0497,0.96352,2.41522,0.00886404,0.00886404,0.00886404
24,3920.89,1.10044,1.01851,2.33837,0.68853,0.51795,0.56842,0.42162,1.02847,0.92746,2.41223,0.00876305,0.00876305,0.00876305
25,4090.13,1.09383,1.0134,2.32494,0.71383,0.5207,0.57701,0.4322,1.01224,0.91873,2.40037,0.00865839,0.00865839,0.00865839
26,4256.84,1.07456,0.98389,2.30026,0.7067,0.52973,0.57388,0.42463,1.02524,0.91495,2.36963,0.00855018,0.00855018,0.00855018
27,4421.16,1.07271,0.9919,2.30256,0.70668,0.51484,0.57418,0.42948,1.01839,0.92251,2.3716,0.00843851,0.00843851,0.00843851
28,4590.94,1.06895,0.978,2.29463,0.68174,0.52814,0.57479,0.43012,1.01586,0.91223,2.35873,0.00832349,0.00832349,0.00832349
29,4761.11,1.05669,0.97466,2.27012,0.68668,0.53779,0.57968,0.4339,1.0121,0.89767,2.34801,0.00820525,0.00820525,0.00820525
30,4931.19,1.05423,0.9615,2.2677,0.77874,0.52794,0.58602,0.44191,1.00198,0.89408,2.3461,0.00808389,0.00808389,0.00808389
31,5100.09,1.0395,0.95378,2.27256,0.7471,0.53681,0.59355,0.44729,0.99472,0.87854,2.3369,0.00795954,0.00795954,0.00795954
32,5264.9,1.03748,0.95467,2.25093,0.72977,0.55721,0.60066,0.45323,0.9884,0.86424,2.31489,0.00783231,0.00783231,0.00783231
33,5433.19,1.03378,0.9516,2.24667,0.75311,0.54187,0.59407,0.45445,0.96659,0.87878,2.29447,0.00770234,0.00770234,0.00770234
34,5602.12,1.01695,0.93173,2.2223,0.75807,0.53802,0.59507,0.45796,0.94933,0.86805,2.30148,0.00756976,0.00756976,0.00756976
35,5771.26,1.01404,0.92417,2.21171,0.73887,0.55099,0.60571,0.46363,0.95053,0.85288,2.2668,0.00743468,0.00743468,0.00743468
36,5939.06,1.00049,0.92137,2.20239,0.7194,0.54364,0.60286,0.46585,0.93121,0.85551,2.2665,0.00729725,0.00729725,0.00729725
37,6103.12,0.99756,0.92512,2.19843,0.75962,0.54584,0.60467,0.46564,0.93233,0.85627,2.24474,0.00715761,0.00715761,0.00715761
38,6270.75,0.99348,0.92235,2.18431,0.74316,0.56298,0.61571,0.4756,0.92898,0.83267,2.2448,0.00701588,0.00701588,0.00701588
39,6437.21,0.98625,0.90404,2.18195,0.7337,0.55633,0.60734,0.47106,0.91668,0.83535,2.22453,0.00687222,0.00687222,0.00687222
40,6604.65,0.99347,0.90929,2.17672,0.78296,0.55267,0.61097,0.47696,0.91074,0.82725,2.198,0.00672675,0.00672675,0.00672675
41,6771.97,0.96602,0.88485,2.15246,0.76843,0.55405,0.62276,0.48262,0.90865,0.82286,2.19973,0.00657963,0.00657963,0.00657963
42,6933.81,0.97472,0.89175,2.1387,0.77442,0.56358,0.62392,0.48478,0.9093,0.81191,2.18942,0.00643101,0.00643101,0.00643101
43,7100.49,0.96451,0.88662,2.13506,0.79382,0.56088,0.62172,0.48736,0.89965,0.80777,2.18766,0.00628101,0.00628101,0.00628101
44,7268.71,0.95744,0.8721,2.14702,0.78091,0.55285,0.62251,0.48922,0.89576,0.80889,2.18237,0.00612981,0.00612981,0.00612981
45,7437,0.95471,0.85781,2.13591,0.76467,0.57383,0.62962,0.4918,0.88807,0.78919,2.16481,0.00597754,0.00597754,0.00597754
46,7607.88,0.94809,0.85574,2.11454,0.73994,0.57845,0.63082,0.49571,0.88597,0.79159,2.15915,0.00582435,0.00582435,0.00582435
47,7774.03,0.95269,0.85913,2.1131,0.75685,0.56424,0.63073,0.49565,0.88381,0.7892,2.14869,0.0056704,0.0056704,0.0056704
48,7943.48,0.93596,0.84552,2.10553,0.77458,0.57794,0.63577,0.49898,0.87805,0.78143,2.13683,0.00551584,0.00551584,0.00551584
49,8110.91,0.93645,0.84328,2.09929,0.75201,0.57347,0.63253,0.49945,0.87682,0.77732,2.13207,0.00536081,0.00536081,0.00536081
50,8277.33,0.93793,0.85414,2.10077,0.77941,0.57435,0.63631,0.50354,0.87283,0.7746,2.11543,0.00520548,0.00520548,0.00520548
51,8442.34,0.92471,0.84403,2.09968,0.77344,0.57755,0.63834,0.50426,0.86723,0.7664,2.1151,0.00505,0.00505,0.00505
52,8605.34,0.92577,0.83279,2.06908,0.8034,0.58037,0.6461,0.50974,0.86903,0.75571,2.10723,0.00489452,0.00489452,0.00489452
53,8772.11,0.92588,0.83347,2.07267,0.78975,0.58275,0.64591,0.51059,0.85996,0.75541,2.10489,0.00473919,0.00473919,0.00473919
54,8939.13,0.92334,0.83091,2.07635,0.79376,0.58145,0.64548,0.51207,0.8607,0.75208,2.09762,0.00458416,0.00458416,0.00458416
55,9105.29,0.92003,0.82226,2.0635,0.81498,0.58178,0.64696,0.51271,0.85785,0.74966,2.09016,0.0044296,0.0044296,0.0044296
56,9274.16,0.90765,0.81315,2.05632,0.80253,0.58079,0.64607,0.51322,0.85159,0.74308,2.08992,0.00427565,0.00427565,0.00427565
57,9437.54,0.90235,0.80075,2.0432,0.77101,0.59434,0.6479,0.51506,0.85068,0.74149,2.0885,0.00412246,0.00412246,0.00412246
58,9606.01,0.91392,0.80859,2.05224,0.80823,0.58097,0.64789,0.51525,0.85014,0.74209,2.0837,0.00397019,0.00397019,0.00397019
59,9774.8,0.89649,0.79329,2.03441,0.78967,0.588,0.6489,0.51643,0.84453,0.73731,2.07448,0.00381899,0.00381899,0.00381899
60,9944.42,0.89838,0.79267,2.01662,0.80224,0.58573,0.65128,0.5201,0.84288,0.73614,2.07459,0.00366899,0.00366899,0.00366899
61,10116,0.89554,0.78412,2.03191,0.80668,0.58646,0.65272,0.51936,0.84209,0.73055,2.06965,0.00352037,0.00352037,0.00352037
62,10283.8,0.88945,0.78887,2.02827,0.81808,0.58303,0.65255,0.52069,0.83832,0.73062,2.06708,0.00337325,0.00337325,0.00337325
63,10453.1,0.88986,0.77968,2.01331,0.81777,0.58477,0.65397,0.52116,0.83798,0.73095,2.06159,0.00322778,0.00322778,0.00322778
64,10623.4,0.87412,0.76203,2.01157,0.8047,0.58737,0.65285,0.52251,0.83905,0.72911,2.06414,0.00308412,0.00308412,0.00308412
65,10793.7,0.86791,0.76018,2.01556,0.82305,0.58343,0.65451,0.52276,0.83646,0.72205,2.06237,0.00294239,0.00294239,0.00294239
66,10962.5,0.86909,0.75797,2.00513,0.83565,0.5827,0.65389,0.5231,0.83486,0.71959,2.05951,0.00280275,0.00280275,0.00280275
67,11129.6,0.8735,0.76085,2.01391,0.82369,0.58363,0.65523,0.5244,0.83032,0.71929,2.05336,0.00266532,0.00266532,0.00266532
68,11299.4,0.86263,0.75419,2.01744,0.80285,0.59079,0.65773,0.52795,0.82819,0.71619,2.04907,0.00253024,0.00253024,0.00253024
69,11470.8,0.86315,0.74885,2.01238,0.80124,0.58957,0.65704,0.52677,0.82894,0.71539,2.04719,0.00239766,0.00239766,0.00239766
70,11640.5,0.8635,0.74215,1.99136,0.80397,0.58846,0.65747,0.52655,0.82722,0.71363,2.04586,0.00226769,0.00226769,0.00226769
71,11809.6,0.86308,0.73919,1.99784,0.77509,0.60289,0.65833,0.52658,0.82757,0.71506,2.04496,0.00214046,0.00214046,0.00214046
72,11971.9,0.8555,0.73372,1.98472,0.80643,0.59272,0.65956,0.52802,0.82688,0.71308,2.04134,0.00201611,0.00201611,0.00201611
73,12141.4,0.85278,0.726,1.98716,0.78461,0.59869,0.6579,0.52716,0.82517,0.71086,2.04308,0.00189475,0.00189475,0.00189475
74,12311.4,0.84615,0.7186,1.98092,0.78386,0.59696,0.66014,0.5286,0.82565,0.70722,2.04239,0.00177651,0.00177651,0.00177651
75,12478.5,0.84347,0.7191,1.97805,0.82139,0.5879,0.65972,0.52818,0.82572,0.70606,2.0432,0.00166149,0.00166149,0.00166149
