epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,164.299,3.59691,2.60489,3.99454,0.2794,0.29579,0.18109,0.05613,2.72325,2.08047,3.72086,0.00332151,0.00332151,0.00332151
2,325.903,2.06722,1.61844,3.46815,0.53048,0.45305,0.45116,0.2341,1.80286,1.44271,3.22765,0.00665322,0.00665322,0.00665322
3,486.646,1.65469,1.28665,3.11588,0.57619,0.49492,0.48454,0.2631,1.64631,1.48466,3.08084,0.00997842,0.00997842,0.00997842
4,647.066,1.45953,1.10429,2.90061,0.68281,0.55122,0.59843,0.35595,1.40708,1.09793,2.77145,0.00997803,0.00997803,0.00997803
5,808.044,1.33334,1.0019,2.75602,0.67808,0.57683,0.60796,0.37805,1.34275,1.08073,2.61615,0.00996097,0.00996097,0.00996097
6,969.33,1.2772,0.95304,2.66538,0.73414,0.5924,0.65629,0.42184,1.23368,0.96821,2.64916,0.00993906,0.00993906,0.00993906
7,1129.41,1.22025,0.91877,2.58123,0.72918,0.60614,0.6594,0.43468,1.20349,0.95517,2.499,0.00991232,0.00991232,0.00991232
8,1290.54,1.19919,0.90164,2.53342,0.74917,0.59459,0.67432,0.43854,1.17787,0.93295,2.47285,0.00988079,0.00988079,0.00988079
9,1452.37,1.1771,0.88167,2.49027,0.75555,0.61982,0.69015,0.461,1.12961,0.90682,2.38672,0.00984449,0.00984449,0.00984449
10,1613.66,1.15928,0.87137,2.45766,0.75835,0.62855,0.70196,0.46894,1.10605,0.87838,2.36212,0.00980345,0.00980345,0.00980345
11,1774.31,1.13187,0.84918,2.42814,0.77024,0.62916,0.71346,0.48555,1.09209,0.8556,2.34332,0.00975773,0.00975773,0.00975773
12,1934.75,1.12907,0.85093,2.40544,0.77108,0.63476,0.70885,0.48937,1.06965,0.85076,2.31746,0.00970736,0.00970736,0.00970736
13,2094.9,1.09508,0.84098,2.37495,0.77,0.63438,0.71386,0.5087,0.99614,0.87478,2.31193,0.00965239,0.00965239,0.00965239
14,2254.97,1.04274,0.83237,2.31441,0.77539,0.64016,0.71921,0.52306,0.95946,0.82714,2.29475,0.00959289,0.00959289,0.00959289
