source_dataset,split,image_id,class_name,image_member,label_member,gt_member,selector_score,source_text_reference,target_language,target_translation_reference,annotator_1,annotator_2,notes,finalization_source
ICDAR MLT-2019,held_out_from_train,tr_img_00739,Arabic,TrainImages/TrainImages/tr_img_00739.jpg,,TrainGT/TrainGT/tr_img_00739.txt,96.9284,مغلق,en,Closed,agreement_auto_accept,,مغلق,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_00782,Arabic,TrainImages/TrainImages/tr_img_00782.jpg,,TrainGT/TrainGT/tr_img_00782.txt,93.9742,رمّانة,en,Pomegranate,majority_vote_accept,,رمّانة,agreed_two_of_three
ICDAR MLT-2019,held_out_from_train,tr_img_00069,Arabic,TrainImages/TrainImages/tr_img_00069.jpg,,TrainGT/TrainGT/tr_img_00069.txt,83.9451,ادْفَع البَابْ,en,Push the door,agreement_auto_accept,,ادْفَع,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_00617,Arabic,TrainImages/TrainImages/tr_img_00617.jpg,,TrainGT/TrainGT/tr_img_00617.txt,87.8469,رويال,en,Royal,agreement_auto_accept,,رويال,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_00679,Arabic,TrainImages/TrainImages/tr_img_00679.jpg,,TrainGT/TrainGT/tr_img_00679.txt,81.8006,المنصورة,en,Al Mansoura,agreement_auto_accept,,المنصورة,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_08513,Bangla,TrainImages/TrainImages/tr_img_08513.jpg,,TrainGT/TrainGT/tr_img_08513.txt,91.9207,উন্নয়নের,en,of development,agreement_auto_accept,,উন্নয়নের,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_08886,Bangla,TrainImages/TrainImages/tr_img_08886.jpg,,TrainGT/TrainGT/tr_img_08886.txt,89.4529,জনপ্রিয় বস্ত্রালয়,en,Popular Clothing Store,agreement_auto_accept,,জনপ্রিয়,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_08359,Bangla,TrainImages/TrainImages/tr_img_08359.jpg,,TrainGT/TrainGT/tr_img_08359.txt,90.9471,বিপ্লব,en,Biplob,majority_vote_accept,,বিপ্লব,agreed_two_of_three
ICDAR MLT-2019,held_out_from_train,tr_img_08525,Bangla,TrainImages/TrainImages/tr_img_08525.jpg,,TrainGT/TrainGT/tr_img_08525.txt,88.5475,ফার্ণিচার,en,Furniture,agreement_auto_accept,,ফার্ণিচার,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_08619,Bangla,TrainImages/TrainImages/tr_img_08619.jpg,,TrainGT/TrainGT/tr_img_08619.txt,91.6139,জেরক্স করা,en,Photocopying,agreement_auto_accept,,জেরক্স,agreed_two_pass
