source_dataset,split,image_id,class_name,image_member,label_member,gt_member,selector_score,source_text_reference,target_language,target_translation_reference,annotator_1,annotator_2,notes,finalization_source
ICDAR MLT-2019,held_out_from_train,tr_img_00739,Arabic,TrainImages/TrainImages/tr_img_00739.jpg,,TrainGT/TrainGT/tr_img_00739.txt,96.9284,مغلق,en,Closed,agreement_auto_accept,,مغلق,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_00782,Arabic,TrainImages/TrainImages/tr_img_00782.jpg,,TrainGT/TrainGT/tr_img_00782.txt,93.9742,رمّانة,en,Pomegranate,majority_vote_accept,,رمّانة,agreed_two_of_three
ICDAR MLT-2019,held_out_from_train,tr_img_00135,Arabic,TrainImages/TrainImages/tr_img_00135.jpg,,TrainGT/TrainGT/tr_img_00135.txt,93.8287,الثورة,en,The Revolution,agreement_auto_accept,,الثورة,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_00717,Arabic,TrainImages/TrainImages/tr_img_00717.jpg,,TrainGT/TrainGT/tr_img_00717.txt,93.508,القطيفة,en,Velvet,agreement_auto_accept,,القطيفة,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_00021,Arabic,TrainImages/TrainImages/tr_img_00021.jpg,,TrainGT/TrainGT/tr_img_00021.txt,89.7128,بحب بلدى,en,I love my country,agreement_auto_accept,,بحب,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_00795,Arabic,TrainImages/TrainImages/tr_img_00795.jpg,,TrainGT/TrainGT/tr_img_00795.txt,89.2205,مفتوح,en,Open,agreement_auto_accept,,مفتوح,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_00744,Arabic,TrainImages/TrainImages/tr_img_00744.jpg,,TrainGT/TrainGT/tr_img_00744.txt,89.0635,الطفل مدينة,en,Child City,majority_vote_accept,,مدينة,agreed_two_of_three
ICDAR MLT-2019,held_out_from_train,tr_img_00617,Arabic,TrainImages/TrainImages/tr_img_00617.jpg,,TrainGT/TrainGT/tr_img_00617.txt,87.8469,رويال,en,Royal,agreement_auto_accept,,رويال,agreed_two_pass
ICDAR MLT-2019,held_out_from_train,tr_img_00544,Arabic,TrainImages/TrainImages/tr_img_00544.jpg,,TrainGT/TrainGT/tr_img_00544.txt,86.9077,البركة,en,Al Baraka,majority_vote_accept,,البركة,agreed_two_of_three
ICDAR MLT-2019,held_out_from_train,tr_img_00061,Arabic,TrainImages/TrainImages/tr_img_00061.png,,TrainGT/TrainGT/tr_img_00061.txt,86.2759,أقطع وشك,en,I'll cut your face.,majority_vote_accept,,أقطع,agreed_two_of_three
