source_dataset,split,image_id,class_name,image_member,gt_member,selector_score,source_text_reference,target_language,target_translation_reference,annotator_1,annotator_2,notes
ICDAR MLT-2019,held_out_from_train,tr_img_00739,Arabic,TrainImages/TrainImages/tr_img_00739.jpg,TrainGT/TrainGT/tr_img_00739.txt,96.9284,مغلق,en,,,,مغلق
ICDAR MLT-2019,held_out_from_train,tr_img_00782,Arabic,TrainImages/TrainImages/tr_img_00782.jpg,TrainGT/TrainGT/tr_img_00782.txt,93.9742,رمّانة,en,,,,رمّانة
ICDAR MLT-2019,held_out_from_train,tr_img_00135,Arabic,TrainImages/TrainImages/tr_img_00135.jpg,TrainGT/TrainGT/tr_img_00135.txt,93.8287,الثورة,en,,,,الثورة
ICDAR MLT-2019,held_out_from_train,tr_img_00717,Arabic,TrainImages/TrainImages/tr_img_00717.jpg,TrainGT/TrainGT/tr_img_00717.txt,93.508,القطيفة,en,,,,القطيفة
ICDAR MLT-2019,held_out_from_train,tr_img_00021,Arabic,TrainImages/TrainImages/tr_img_00021.jpg,TrainGT/TrainGT/tr_img_00021.txt,89.7128,بحب بلدى,en,,,,بحب
ICDAR MLT-2019,held_out_from_train,tr_img_00795,Arabic,TrainImages/TrainImages/tr_img_00795.jpg,TrainGT/TrainGT/tr_img_00795.txt,89.2205,مفتوح,en,,,,مفتوح
ICDAR MLT-2019,held_out_from_train,tr_img_00744,Arabic,TrainImages/TrainImages/tr_img_00744.jpg,TrainGT/TrainGT/tr_img_00744.txt,89.0635,الطفل مدينة,en,,,,مدينة
ICDAR MLT-2019,held_out_from_train,tr_img_00617,Arabic,TrainImages/TrainImages/tr_img_00617.jpg,TrainGT/TrainGT/tr_img_00617.txt,87.8469,رويال,en,,,,رويال
ICDAR MLT-2019,held_out_from_train,tr_img_00544,Arabic,TrainImages/TrainImages/tr_img_00544.jpg,TrainGT/TrainGT/tr_img_00544.txt,86.9077,البركة,en,,,,البركة
ICDAR MLT-2019,held_out_from_train,tr_img_00061,Arabic,TrainImages/TrainImages/tr_img_00061.png,TrainGT/TrainGT/tr_img_00061.txt,86.2759,أقطع وشك,en,,,,أقطع
ICDAR MLT-2019,held_out_from_train,tr_img_00056,Arabic,TrainImages/TrainImages/tr_img_00056.jpg,TrainGT/TrainGT/tr_img_00056.txt,85.2926,البلدية قصر,en,,,,قصر
ICDAR MLT-2019,held_out_from_train,tr_img_00069,Arabic,TrainImages/TrainImages/tr_img_00069.jpg,TrainGT/TrainGT/tr_img_00069.txt,83.9451,ادْفَع البَابْ,en,,,,ادْفَع
ICDAR MLT-2019,held_out_from_train,tr_img_00410,Arabic,TrainImages/TrainImages/tr_img_00410.png,TrainGT/TrainGT/tr_img_00410.txt,83.9266,عمار اثاث,en,,,,اثاث
ICDAR MLT-2019,held_out_from_train,tr_img_00427,Arabic,TrainImages/TrainImages/tr_img_00427.jpg,TrainGT/TrainGT/tr_img_00427.txt,82.7361,حلو كسكروت,en,,,,كسكروت
ICDAR MLT-2019,held_out_from_train,tr_img_00432,Arabic,TrainImages/TrainImages/tr_img_00432.jpg,TrainGT/TrainGT/tr_img_00432.txt,82.4502,هارديز,en,,,,هارديز
ICDAR MLT-2019,held_out_from_train,tr_img_00792,Arabic,TrainImages/TrainImages/tr_img_00792.jpg,TrainGT/TrainGT/tr_img_00792.txt,82.4426,التَعليميَة المهَن نقَابةْ,en,,,,نقَابةْ
ICDAR MLT-2019,held_out_from_train,tr_img_00578,Arabic,TrainImages/TrainImages/tr_img_00578.jpg,TrainGT/TrainGT/tr_img_00578.txt,82.3057,التجاريين نقابة,en,,,,نقابة
ICDAR MLT-2019,held_out_from_train,tr_img_00632,Arabic,TrainImages/TrainImages/tr_img_00632.jpg,TrainGT/TrainGT/tr_img_00632.txt,82.0929,رمل,en,,,,رمل
ICDAR MLT-2019,held_out_from_train,tr_img_00679,Arabic,TrainImages/TrainImages/tr_img_00679.jpg,TrainGT/TrainGT/tr_img_00679.txt,81.8006,المنصورة,en,,,,المنصورة
ICDAR MLT-2019,held_out_from_train,tr_img_00946,Arabic,TrainImages/TrainImages/tr_img_00946.png,TrainGT/TrainGT/tr_img_00946.txt,81.6793,روضة الصفاء,en,,,,روضة
ICDAR MLT-2019,held_out_from_train,tr_img_01804,Latin,TrainImages/TrainImages/tr_img_01804.jpg,TrainGT/TrainGT/tr_img_01804.txt,97.966,115,en,,,,115
ICDAR MLT-2019,held_out_from_train,tr_img_01835,Latin,TrainImages/TrainImages/tr_img_01835.jpg,TrainGT/TrainGT/tr_img_01835.txt,97.2885,BBC,en,,,,BBC
ICDAR MLT-2019,held_out_from_train,tr_img_01633,Latin,TrainImages/TrainImages/tr_img_01633.jpg,TrainGT/TrainGT/tr_img_01633.txt,97.1389,61,en,,,,61
