class_name,image_member,gt_member,image_id,total_instances,valid_instances,unique_languages,dominant_ratio,mean_text_len,max_text_len,max_area_ratio,mean_area_ratio,min_center_distance,sharpness,contrast,width,height,score,sample_text
Arabic,TrainImages/TrainImages/tr_img_00739.jpg,TrainGT/TrainGT/tr_img_00739.txt,tr_img_00739,1,1,1,1.0,4.0,4,0.1799750030040741,0.1799750030040741,0.018797,688.0211,68.541,194,259,96.9284,مغلق
Arabic,TrainImages/TrainImages/tr_img_00782.jpg,TrainGT/TrainGT/tr_img_00782.txt,tr_img_00782,1,1,1,1.0,6.0,6,0.21008799970149994,0.21008799970149994,0.109958,499.4271,66.2692,747,441,93.9742,رمّانة
Arabic,TrainImages/TrainImages/tr_img_00135.jpg,TrainGT/TrainGT/tr_img_00135.txt,tr_img_00135,5,1,1,1.0,6.0,6,0.3681600093841553,0.3681600093841553,0.091193,1857.005,60.0289,500,375,93.8287,الثورة
Arabic,TrainImages/TrainImages/tr_img_00717.jpg,TrainGT/TrainGT/tr_img_00717.txt,tr_img_00717,1,1,1,1.0,7.0,7,0.3623659908771515,0.3623659908771515,0.075602,1872.5697,61.3797,480,304,93.508,القطيفة
Arabic,TrainImages/TrainImages/tr_img_00021.jpg,TrainGT/TrainGT/tr_img_00021.txt,tr_img_00021,3,2,1,1.0,3.5,4,0.12867200374603271,0.10144499689340591,0.114144,798.477,67.6043,480,640,89.71279907226562,بحب
Arabic,TrainImages/TrainImages/tr_img_00795.jpg,TrainGT/TrainGT/tr_img_00795.txt,tr_img_00795,1,1,1,1.0,5.0,5,0.15394000709056854,0.15394000709056854,0.018388,37.1036,72.6779,1200,1600,89.2205,مفتوح
Arabic,TrainImages/TrainImages/tr_img_00744.jpg,TrainGT/TrainGT/tr_img_00744.txt,tr_img_00744,2,2,1,1.0,5.0,5,0.1570570021867752,0.11580800265073776,0.163408,730.3229,63.1589,600,399,89.0635,مدينة
Arabic,TrainImages/TrainImages/tr_img_00617.jpg,TrainGT/TrainGT/tr_img_00617.txt,tr_img_00617,2,1,1,1.0,5.0,5,0.16885100305080414,0.16885100305080414,0.036159,25.3366,58.5148,4032,3024,87.8469,رويال
Arabic,TrainImages/TrainImages/tr_img_00544.jpg,TrainGT/TrainGT/tr_img_00544.txt,tr_img_00544,1,1,1,1.0,6.0,6,0.08845199644565582,0.08845199644565582,0.1041,370.9723,58.8126,620,369,86.90769958496094,البركة
Arabic,TrainImages/TrainImages/tr_img_00061.png,TrainGT/TrainGT/tr_img_00061.txt,tr_img_00061,2,2,1,1.0,3.5,4,0.11999999731779099,0.10907799750566483,0.190574,1412.37,52.2174,235,255,86.2759017944336,أقطع
Arabic,TrainImages/TrainImages/tr_img_00056.jpg,TrainGT/TrainGT/tr_img_00056.txt,tr_img_00056,2,2,1,1.0,5.0,7,0.16847999393939972,0.1293870061635971,0.150109,255.8905,37.5021,300,250,85.2926,قصر
Arabic,TrainImages/TrainImages/tr_img_00069.jpg,TrainGT/TrainGT/tr_img_00069.txt,tr_img_00069,2,2,1,1.0,6.5,7,0.1105239987373352,0.10863900184631348,0.08729,765.3612,41.5068,220,176,83.94509887695312,ادْفَع
Arabic,TrainImages/TrainImages/tr_img_00410.png,TrainGT/TrainGT/tr_img_00410.txt,tr_img_00410,2,2,1,1.0,4.0,4,0.10623099654912949,0.079135000705719,0.104112,1125.1366,29.4116,485,501,83.92659759521484,اثاث
Arabic,TrainImages/TrainImages/tr_img_00427.jpg,TrainGT/TrainGT/tr_img_00427.txt,tr_img_00427,2,2,1,1.0,4.5,6,0.11737199872732162,0.08655499666929245,0.095666,128.7197,66.2759,1734,1300,82.73609924316406,كسكروت
Arabic,TrainImages/TrainImages/tr_img_00432.jpg,TrainGT/TrainGT/tr_img_00432.txt,tr_img_00432,1,1,1,1.0,6.0,6,0.06640499830245972,0.06640499830245972,0.09616,414.6941,34.3133,600,402,82.45020294189453,هارديز
Arabic,TrainImages/TrainImages/tr_img_00792.jpg,TrainGT/TrainGT/tr_img_00792.txt,tr_img_00792,3,3,1,1.0,8.0,11,0.16608600318431854,0.11797399818897247,0.089817,778.4803,65.9817,380,200,82.4426,نقَابةْ
Arabic,TrainImages/TrainImages/tr_img_00578.jpg,TrainGT/TrainGT/tr_img_00578.txt,tr_img_00578,3,2,1,1.0,7.0,9,0.10794100165367126,0.09198600053787231,0.221465,320.7672,67.2812,385,305,82.30570220947266,نقابة
Arabic,TrainImages/TrainImages/tr_img_00632.jpg,TrainGT/TrainGT/tr_img_00632.txt,tr_img_00632,1,1,1,1.0,3.0,3,0.03405600041151047,0.03405600041151047,0.101951,586.1434,60.8372,975,1300,82.09290313720703,رمل
Arabic,TrainImages/TrainImages/tr_img_00679.jpg,TrainGT/TrainGT/tr_img_00679.txt,tr_img_00679,1,1,1,1.0,8.0,8,0.05729199945926666,0.05729199945926666,0.131118,1266.7087,68.1202,960,720,81.80059814453125,المنصورة
Arabic,TrainImages/TrainImages/tr_img_00946.png,TrainGT/TrainGT/tr_img_00946.txt,tr_img_00946,2,2,1,1.0,5.0,6,0.08946000039577484,0.08652999997138977,0.155473,563.9528,48.975,690,400,81.6792984008789,روضة
