class_name,image_member,gt_member,image_id,total_instances,valid_instances,unique_languages,dominant_ratio,mean_text_len,max_text_len,max_area_ratio,mean_area_ratio,min_center_distance,sharpness,contrast,width,height,score,sample_text
Bangla,TrainImages/TrainImages/tr_img_08389.jpg,TrainGT/TrainGT/tr_img_08389.txt,tr_img_08389,4,1,1,1.0,6.0,6,0.1275089979171753,0.1275089979171753,0.037254,612.2806,78.842,2048,1536,93.7979965209961,জেরক্স
Bangla,TrainImages/TrainImages/tr_img_08082.jpg,TrainGT/TrainGT/tr_img_08082.txt,tr_img_08082,1,1,1,1.0,6.0,6,0.5075740218162537,0.5075740218162537,0.070363,293.4755,73.3413,2048,1305,93.5822,সাইকেল
Bangla,TrainImages/TrainImages/tr_img_08288.jpg,TrainGT/TrainGT/tr_img_08288.txt,tr_img_08288,1,1,1,1.0,5.0,5,0.4760819971561432,0.4760819971561432,0.077718,284.4987,57.674,2019,678,93.0456,নটরাজ
Bangla,TrainImages/TrainImages/tr_img_08060.jpg,TrainGT/TrainGT/tr_img_08060.txt,tr_img_08060,2,1,1,1.0,8.0,8,0.38249900937080383,0.38249900937080383,0.123565,568.8099,69.4388,2048,1314,92.6495,বেলঘরিয়া
Bangla,TrainImages/TrainImages/tr_img_08381.jpg,TrainGT/TrainGT/tr_img_08381.txt,tr_img_08381,1,1,1,1.0,8.0,8,0.42069798707962036,0.42069798707962036,0.115507,391.1846,63.6321,2048,1411,92.3637,শ্রীগুরু
Bangla,TrainImages/TrainImages/tr_img_08513.jpg,TrainGT/TrainGT/tr_img_08513.txt,tr_img_08513,3,1,1,1.0,8.0,8,0.19304199516773224,0.19304199516773224,0.138145,412.5034,62.5014,1900,967,91.9207,উন্নয়নের
Bangla,TrainImages/TrainImages/tr_img_08602.jpg,TrainGT/TrainGT/tr_img_08602.txt,tr_img_08602,1,1,1,1.0,5.0,5,0.28481099009513855,0.28481099009513855,0.125496,225.2274,71.3228,2048,1100,91.8068,মানসী
Bangla,TrainImages/TrainImages/tr_img_08619.jpg,TrainGT/TrainGT/tr_img_08619.txt,tr_img_08619,3,2,1,1.0,4.5,6,0.37890300154685974,0.1948460042476654,0.047961,452.7272,68.3373,1536,2048,91.6139,জেরক্স
Bangla,TrainImages/TrainImages/tr_img_08359.jpg,TrainGT/TrainGT/tr_img_08359.txt,tr_img_08359,1,1,1,1.0,6.0,6,0.24801699817180634,0.24801699817180634,0.009352,186.6283,53.6333,1366,2048,90.9471,বিপ্লব
Bangla,TrainImages/TrainImages/tr_img_08339.jpg,TrainGT/TrainGT/tr_img_08339.txt,tr_img_08339,3,1,1,1.0,10.0,10,0.3233790099620819,0.3233790099620819,0.092912,595.7839,54.4298,1001,1191,90.7346,বিবেকানন্দ
Bangla,TrainImages/TrainImages/tr_img_08402.jpg,TrainGT/TrainGT/tr_img_08402.txt,tr_img_08402,6,1,1,1.0,6.0,6,0.27623000741004944,0.27623000741004944,0.173081,719.7435,32.3234,2048,1536,90.5395,নিরালা
Bangla,TrainImages/TrainImages/tr_img_08785.jpg,TrainGT/TrainGT/tr_img_08785.txt,tr_img_08785,2,1,1,1.0,6.0,6,0.1845400035381317,0.1845400035381317,0.194981,262.8827,61.3262,1432,1161,90.2695,পান্তউ
Bangla,TrainImages/TrainImages/tr_img_08208.jpg,TrainGT/TrainGT/tr_img_08208.txt,tr_img_08208,1,1,1,1.0,8.0,8,0.2973969876766205,0.2973969876766205,0.132858,268.5937,62.895,2048,943,90.1727,বেলঘরিয়া
Bangla,TrainImages/TrainImages/tr_img_08998.jpg,TrainGT/TrainGT/tr_img_08998.txt,tr_img_08998,1,1,1,1.0,7.0,7,0.12625299394130707,0.12625299394130707,0.146829,471.6483,49.9485,891,2048,89.7843017578125,সুমার্ট
Bangla,TrainImages/TrainImages/tr_img_08886.jpg,TrainGT/TrainGT/tr_img_08886.txt,tr_img_08886,4,2,1,1.0,8.0,9,0.17466400563716888,0.1639930009841919,0.033065,347.9227,68.079,1346,1242,89.4529,জনপ্রিয়
Bangla,TrainImages/TrainImages/tr_img_08995.jpg,TrainGT/TrainGT/tr_img_08995.txt,tr_img_08995,5,2,1,1.0,6.0,6,0.1650180071592331,0.09661400318145752,0.10254,641.8533,59.0509,1536,2048,89.0773,পৌরসভা
Bangla,TrainImages/TrainImages/tr_img_08116.jpg,TrainGT/TrainGT/tr_img_08116.txt,tr_img_08116,1,1,1,1.0,4.0,4,0.27282699942588806,0.27282699942588806,0.211662,159.2166,60.4212,1338,1503,88.9018,কমলা
Bangla,TrainImages/TrainImages/tr_img_08213.jpg,TrainGT/TrainGT/tr_img_08213.txt,tr_img_08213,1,1,1,1.0,2.0,2,0.21514900028705597,0.21514900028705597,0.007471,13.8329,41.4135,1282,2048,88.8214,বই
Bangla,TrainImages/TrainImages/tr_img_08144.jpg,TrainGT/TrainGT/tr_img_08144.txt,tr_img_08144,5,2,1,1.0,5.5,8,0.5557389855384827,0.3922809958457947,0.168802,413.5276,64.663,2000,698,88.7513,চলো
Bangla,TrainImages/TrainImages/tr_img_08525.jpg,TrainGT/TrainGT/tr_img_08525.txt,tr_img_08525,2,1,1,1.0,9.0,9,0.12376199662685394,0.12376199662685394,0.057731,311.7099,48.0786,2048,1536,88.54750061035156,ফার্ণিচার
