class_name,image_member,gt_member,image_id,total_instances,valid_instances,unique_languages,dominant_ratio,mean_text_len,max_text_len,max_area_ratio,mean_area_ratio,min_center_distance,sharpness,contrast,width,height,score,sample_text
Chinese,TrainImages/TrainImages/tr_img_03248.jpg,TrainGT/TrainGT/tr_img_03248.txt,tr_img_03248,1,1,1,1.0,5.0,5,0.3041670024394989,0.3041670024394989,0.049441,3411.7561,71.4246,440,288,95.8756,这儿是哪儿
Chinese,TrainImages/TrainImages/tr_img_03063.jpg,TrainGT/TrainGT/tr_img_03063.txt,tr_img_03063,2,1,1,1.0,4.0,4,0.14885300397872925,0.14885300397872925,0.106469,623.9216,87.8913,1843,1109,95.6298,易酷网吧
Chinese,TrainImages/TrainImages/tr_img_03851.jpg,TrainGT/TrainGT/tr_img_03851.txt,tr_img_03851,1,1,1,1.0,6.0,6,0.18950000405311584,0.18950000405311584,0.032608,674.2841,53.6627,3264,2448,94.3113,建于2000
Chinese,TrainImages/TrainImages/tr_img_03653.jpg,TrainGT/TrainGT/tr_img_03653.txt,tr_img_03653,1,1,1,1.0,4.0,4,0.16062699258327484,0.16062699258327484,0.148156,545.5393,57.5729,900,600,94.0752,员工平安
Chinese,TrainImages/TrainImages/tr_img_03315.jpg,TrainGT/TrainGT/tr_img_03315.txt,tr_img_03315,1,1,1,1.0,5.0,5,0.15176400542259216,0.15176400542259216,0.091636,634.8838,53.4707,3264,1336,94.0198,中航科技大
Chinese,TrainImages/TrainImages/tr_img_03149.jpg,TrainGT/TrainGT/tr_img_03149.txt,tr_img_03149,1,1,1,1.0,6.0,6,0.31992700695991516,0.31992700695991516,0.10993,479.1403,60.9955,550,262,93.5979,牛肉汤碗蒸菜
Chinese,TrainImages/TrainImages/tr_img_03297.jpg,TrainGT/TrainGT/tr_img_03297.txt,tr_img_03297,1,1,1,1.0,8.0,8,0.25435999035835266,0.25435999035835266,0.058339,1425.8604,57.9475,600,383,92.8723,理想北大美梦成真
Chinese,TrainImages/TrainImages/tr_img_03871.jpg,TrainGT/TrainGT/tr_img_03871.txt,tr_img_03871,1,1,1,1.0,3.0,3,0.15788200497627258,0.15788200497627258,0.028527,193.8699,52.3635,1600,1200,92.7151,老蒸笼
Chinese,TrainImages/TrainImages/tr_img_03716.jpg,TrainGT/TrainGT/tr_img_03716.txt,tr_img_03716,1,1,1,1.0,2.0,2,0.1691409945487976,0.1691409945487976,0.303013,1048.39,52.0896,298,386,92.5391,迎奥
Chinese,TrainImages/TrainImages/tr_img_03474.jpg,TrainGT/TrainGT/tr_img_03474.txt,tr_img_03474,1,1,1,1.0,3.0,3,0.12431900203227997,0.12431900203227997,0.06483,259.4204,59.0684,3120,4160,92.09539794921875,岷江桥
Chinese,TrainImages/TrainImages/tr_img_03806.jpg,TrainGT/TrainGT/tr_img_03806.txt,tr_img_03806,1,1,1,1.0,7.0,7,0.12341299653053284,0.12341299653053284,0.127388,637.1334,68.9896,2624,1072,91.09040069580078,老天津卫炸酱面
Chinese,TrainImages/TrainImages/tr_img_03148.jpg,TrainGT/TrainGT/tr_img_03148.txt,tr_img_03148,1,1,1,1.0,4.0,4,0.12097799777984619,0.12097799777984619,0.113138,420.0835,41.4546,503,453,91.03849792480469,神木車站
Chinese,TrainImages/TrainImages/tr_img_03914.jpg,TrainGT/TrainGT/tr_img_03914.txt,tr_img_03914,1,1,1,1.0,10.0,10,0.20310400426387787,0.20310400426387787,0.120576,1043.689,64.8486,800,335,91.0362,欢迎你们参加全国高考
Chinese,TrainImages/TrainImages/tr_img_03372.jpg,TrainGT/TrainGT/tr_img_03372.txt,tr_img_03372,1,1,1,1.0,9.0,9,0.14115500450134277,0.14115500450134277,0.105067,290.0895,75.0892,1656,1109,90.9495,北京双舟台球俱乐部
Chinese,TrainImages/TrainImages/tr_img_03402.jpg,TrainGT/TrainGT/tr_img_03402.txt,tr_img_03402,1,1,1,1.0,5.0,5,0.09213799983263016,0.09213799983263016,0.022344,825.5173,72.733,800,600,90.15540313720703,觀雲白建勑
Chinese,TrainImages/TrainImages/tr_img_03159.jpg,TrainGT/TrainGT/tr_img_03159.txt,tr_img_03159,1,1,1,1.0,13.0,13,0.17899200320243835,0.17899200320243835,0.01995,3792.1541,55.3893,600,205,89.9705,全国现代农作物种业工作会议
Chinese,TrainImages/TrainImages/tr_img_03218.jpg,TrainGT/TrainGT/tr_img_03218.txt,tr_img_03218,2,2,1,1.0,6.5,7,0.14177699387073517,0.07707499712705612,0.066804,3303.1147,68.1144,550,154,89.9631,"妈,我要回来!"
Chinese,TrainImages/TrainImages/tr_img_03887.jpg,TrainGT/TrainGT/tr_img_03887.txt,tr_img_03887,2,2,1,1.0,3.0,4,0.12285000085830688,0.09328500181436539,0.071821,2385.3184,62.4235,3968,2976,89.60469818115234,消防通道
Chinese,TrainImages/TrainImages/tr_img_03505.jpg,TrainGT/TrainGT/tr_img_03505.txt,tr_img_03505,2,2,1,1.0,2.5,3,0.13443000614643097,0.07612500339746475,0.129074,2067.8853,44.4245,1000,445,89.2251968383789,韵湘轩
Chinese,TrainImages/TrainImages/tr_img_03893.jpg,TrainGT/TrainGT/tr_img_03893.txt,tr_img_03893,1,1,1,1.0,10.0,10,0.15894700586795807,0.15894700586795807,0.227107,1366.1975,62.3289,300,375,89.1517,"皇粮国税,不交有罪。"
