class_name,image_member,gt_member,image_id,total_instances,valid_instances,unique_languages,dominant_ratio,mean_text_len,max_text_len,max_area_ratio,mean_area_ratio,min_center_distance,sharpness,contrast,width,height,score,sample_text
Hindi,TrainImages/TrainImages/tr_img_09285.jpg,TrainGT/TrainGT/tr_img_09285.txt,tr_img_09285,1,1,1,1.0,3.0,3,0.17994000017642975,0.17994000017642975,0.028365,1029.667,60.2125,820,461,96.847,पाम
Hindi,TrainImages/TrainImages/tr_img_09277.jpg,TrainGT/TrainGT/tr_img_09277.txt,tr_img_09277,1,1,1,1.0,4.0,4,0.2736699879169464,0.2736699879169464,0.0458,584.0042,72.6674,635,378,96.6005,अमूल
Hindi,TrainImages/TrainImages/tr_img_09359.jpg,TrainGT/TrainGT/tr_img_09359.txt,tr_img_09359,1,1,1,1.0,4.0,4,0.5401830077171326,0.5401830077171326,0.050101,1528.3197,73.4462,820,461,96.5317,वेणू
Hindi,TrainImages/TrainImages/tr_img_09913.jpg,TrainGT/TrainGT/tr_img_09913.txt,tr_img_09913,1,1,1,1.0,4.0,4,0.1974789947271347,0.1974789947271347,0.065811,1373.7205,75.9849,820,461,96.2804,औषधे
Hindi,TrainImages/TrainImages/tr_img_09832.jpg,TrainGT/TrainGT/tr_img_09832.txt,tr_img_09832,1,1,1,1.0,5.0,5,0.6163359880447388,0.6163359880447388,0.010818,616.35,64.0655,820,461,96.0697,बिमोड
Hindi,TrainImages/TrainImages/tr_img_09496.jpg,TrainGT/TrainGT/tr_img_09496.txt,tr_img_09496,1,1,1,1.0,5.0,5,0.2689409852027893,0.2689409852027893,0.038741,1524.9995,68.6463,820,461,95.9501,मनाली
Hindi,TrainImages/TrainImages/tr_img_09485.jpg,TrainGT/TrainGT/tr_img_09485.txt,tr_img_09485,1,1,1,1.0,5.0,5,0.6894410252571106,0.6894410252571106,0.046423,1237.6351,83.7524,808,315,95.9239,बेकरी
Hindi,TrainImages/TrainImages/tr_img_09158.jpg,TrainGT/TrainGT/tr_img_09158.txt,tr_img_09158,1,1,1,1.0,4.0,4,0.3639119863510132,0.3639119863510132,0.038976,644.8817,58.8861,820,461,95.9159,औषधे
Hindi,TrainImages/TrainImages/tr_img_09167.jpg,TrainGT/TrainGT/tr_img_09167.txt,tr_img_09167,1,1,1,1.0,4.0,4,0.40809598565101624,0.40809598565101624,0.026467,497.9529,55.5255,969,530,95.876,अमूल
Hindi,TrainImages/TrainImages/tr_img_09415.jpg,TrainGT/TrainGT/tr_img_09415.txt,tr_img_09415,1,1,1,1.0,5.0,5,0.1523739993572235,0.1523739993572235,0.050015,709.471,77.5991,955,491,95.8664,शालीन
Hindi,TrainImages/TrainImages/tr_img_09416.jpg,TrainGT/TrainGT/tr_img_09416.txt,tr_img_09416,1,1,1,1.0,5.0,5,0.14206700026988983,0.14206700026988983,0.02683,758.6895,64.3171,820,461,95.8315,राजगड
Hindi,TrainImages/TrainImages/tr_img_09870.jpg,TrainGT/TrainGT/tr_img_09870.txt,tr_img_09870,1,1,1,1.0,5.0,5,0.7942150235176086,0.7942150235176086,0.039022,2446.1047,64.9059,820,394,95.6785,समतोल
Hindi,TrainImages/TrainImages/tr_img_09226.jpg,TrainGT/TrainGT/tr_img_09226.txt,tr_img_09226,1,1,1,1.0,4.0,4,0.26479798555374146,0.26479798555374146,0.058872,405.4384,57.5107,855,418,95.4993,कासट
Hindi,TrainImages/TrainImages/tr_img_09714.jpg,TrainGT/TrainGT/tr_img_09714.txt,tr_img_09714,1,1,1,1.0,6.0,6,0.5261420011520386,0.5261420011520386,0.026624,1695.2183,66.3185,977,344,95.311,अरिहंत
Hindi,TrainImages/TrainImages/tr_img_09536.jpg,TrainGT/TrainGT/tr_img_09536.txt,tr_img_09536,1,1,1,1.0,4.0,4,0.44735100865364075,0.44735100865364075,0.051695,294.5893,70.0857,820,461,95.2397,रमेश
Hindi,TrainImages/TrainImages/tr_img_09727.jpg,TrainGT/TrainGT/tr_img_09727.txt,tr_img_09727,1,1,1,1.0,5.0,5,0.3385869860649109,0.3385869860649109,0.070982,715.4849,65.0215,820,461,95.1753,नटराज
Hindi,TrainImages/TrainImages/tr_img_09011.jpg,TrainGT/TrainGT/tr_img_09011.txt,tr_img_09011,1,1,1,1.0,6.0,6,0.26010799407958984,0.26010799407958984,0.017174,1256.4115,62.1425,820,461,95.164,सुनिता
Hindi,TrainImages/TrainImages/tr_img_09512.jpg,TrainGT/TrainGT/tr_img_09512.txt,tr_img_09512,1,1,1,1.0,4.0,4,0.22390200197696686,0.22390200197696686,0.140515,1710.8944,70.5317,450,420,95.0851,शिवम
Hindi,TrainImages/TrainImages/tr_img_09522.jpg,TrainGT/TrainGT/tr_img_09522.txt,tr_img_09522,1,1,1,1.0,5.0,5,0.23903900384902954,0.23903900384902954,0.004326,778.5422,48.534,820,461,95.0642,रायगड
Hindi,TrainImages/TrainImages/tr_img_09075.jpg,TrainGT/TrainGT/tr_img_09075.txt,tr_img_09075,1,1,1,1.0,3.0,3,0.13256600499153137,0.13256600499153137,0.023406,326.0598,54.2085,820,461,94.99449920654297,शाल
