class_name,image_member,gt_member,image_id,total_instances,valid_instances,unique_languages,dominant_ratio,mean_text_len,max_text_len,max_area_ratio,mean_area_ratio,min_center_distance,sharpness,contrast,width,height,score,sample_text
Japanese,TrainImages/TrainImages/tr_img_06975.jpg,TrainGT/TrainGT/tr_img_06975.txt,tr_img_06975,1,1,1,1.0,2.0,2,0.13262400031089783,0.13262400031089783,0.010793,308.9348,69.3538,3024,2268,96.56079864501953,山田
Japanese,TrainImages/TrainImages/tr_img_06623.jpg,TrainGT/TrainGT/tr_img_06623.txt,tr_img_06623,1,1,1,1.0,4.0,4,0.1288529932498932,0.1288529932498932,0.031958,403.9412,40.4989,1776,1184,93.28160095214844,ココ入る
Japanese,TrainImages/TrainImages/tr_img_06738.jpg,TrainGT/TrainGT/tr_img_06738.txt,tr_img_06738,1,1,1,1.0,4.0,4,0.1701270043849945,0.1701270043849945,0.066983,265.5056,37.603,1776,1184,92.0162,左折出庫
Japanese,TrainImages/TrainImages/tr_img_06150.jpg,TrainGT/TrainGT/tr_img_06150.txt,tr_img_06150,1,1,1,1.0,5.0,5,0.12918700277805328,0.12918700277805328,0.074629,406.6378,40.8105,1280,960,91.99739837646484,深-144
Japanese,TrainImages/TrainImages/tr_img_06672.jpg,TrainGT/TrainGT/tr_img_06672.txt,tr_img_06672,1,1,1,1.0,4.0,4,0.1778780072927475,0.1778780072927475,0.130877,329.6425,23.9001,1776,1184,91.4811,合流注意
Japanese,TrainImages/TrainImages/tr_img_06962.jpg,TrainGT/TrainGT/tr_img_06962.txt,tr_img_06962,1,1,1,1.0,3.0,3,0.22145800292491913,0.22145800292491913,0.12818,143.814,73.8423,3024,2268,91.2363,ビデオ
Japanese,TrainImages/TrainImages/tr_img_06693.jpg,TrainGT/TrainGT/tr_img_06693.txt,tr_img_06693,1,1,1,1.0,3.0,3,0.27330800890922546,0.27330800890922546,0.041252,187.2005,33.2349,1776,1184,90.9928,止マレ
Japanese,TrainImages/TrainImages/tr_img_06147.jpg,TrainGT/TrainGT/tr_img_06147.txt,tr_img_06147,2,2,1,1.0,4.5,5,0.2590560019016266,0.15354999899864197,0.032481,251.3824,92.5996,563,1001,89.7262,まんが喫茶
Japanese,TrainImages/TrainImages/tr_img_06430.jpg,TrainGT/TrainGT/tr_img_06430.txt,tr_img_06430,1,1,1,1.0,3.0,3,0.0792900025844574,0.0792900025844574,0.076372,641.7145,68.7882,3024,2268,88.88590240478516,佐ムホ
Japanese,TrainImages/TrainImages/tr_img_06383.jpg,TrainGT/TrainGT/tr_img_06383.txt,tr_img_06383,14,2,1,1.0,3.5,6,0.2381100058555603,0.14988799393177032,0.091741,231.8377,67.7641,3024,2268,88.8382,館
Japanese,TrainImages/TrainImages/tr_img_06008.jpg,TrainGT/TrainGT/tr_img_06008.txt,tr_img_06008,1,1,1,1.0,4.0,4,0.15957699716091156,0.15957699716091156,0.134569,154.0686,38.5663,1776,2664,88.4565,用店デえ
Japanese,TrainImages/TrainImages/tr_img_06997.jpg,TrainGT/TrainGT/tr_img_06997.txt,tr_img_06997,1,1,1,1.0,4.0,4,0.10606800019741058,0.10606800019741058,0.040605,202.2331,58.9637,1836,2448,88.15509796142578,左側通行
Japanese,TrainImages/TrainImages/tr_img_06942.jpg,TrainGT/TrainGT/tr_img_06942.txt,tr_img_06942,3,1,1,1.0,7.0,7,0.1424880027770996,0.1424880027770996,0.052775,74.6409,61.1654,2448,3264,87.564,標凖発車時刻表
Japanese,TrainImages/TrainImages/tr_img_06203.jpg,TrainGT/TrainGT/tr_img_06203.txt,tr_img_06203,2,2,1,1.0,6.0,7,0.13163700699806213,0.08519399911165237,0.016612,202.9334,70.3187,2268,3024,86.79750061035156,静岡県警察本部
Japanese,TrainImages/TrainImages/tr_img_06305.jpg,TrainGT/TrainGT/tr_img_06305.txt,tr_img_06305,2,2,1,1.0,4.0,5,0.11702699959278107,0.1057559996843338,0.036377,462.0332,32.507,1776,1184,86.61959838867188,博多えメン
Japanese,TrainImages/TrainImages/tr_img_06881.jpg,TrainGT/TrainGT/tr_img_06881.txt,tr_img_06881,2,2,1,1.0,3.5,4,0.11925099790096283,0.08349599689245224,0.012494,311.7527,28.2362,1776,1184,86.44170379638672,日本の酒
Japanese,TrainImages/TrainImages/tr_img_06501.jpg,TrainGT/TrainGT/tr_img_06501.txt,tr_img_06501,2,2,1,1.0,5.0,7,0.11185099929571152,0.0718579962849617,0.042325,359.0793,42.8082,1776,1184,85.9280014038086,ロンヅエヴイテ
Japanese,TrainImages/TrainImages/tr_img_06166.jpg,TrainGT/TrainGT/tr_img_06166.txt,tr_img_06166,1,1,1,1.0,5.0,5,0.109934002161026,0.109934002161026,0.037443,74.8412,69.0072,1147,696,85.8416976928711,JR東日本
Japanese,TrainImages/TrainImages/tr_img_06761.jpg,TrainGT/TrainGT/tr_img_06761.txt,tr_img_06761,1,1,1,1.0,2.0,2,0.08295699954032898,0.08295699954032898,0.165775,221.5469,68.4077,3024,2268,85.63030242919922,幾度
Japanese,TrainImages/TrainImages/tr_img_06616.jpg,TrainGT/TrainGT/tr_img_06616.txt,tr_img_06616,4,2,1,1.0,6.0,8,0.12555299699306488,0.08099500089883804,0.235784,940.9968,66.2642,2448,1836,85.60310363769531,きょう、
