class_name,image_member,gt_member,image_id,total_instances,valid_instances,unique_languages,dominant_ratio,mean_text_len,max_text_len,max_area_ratio,mean_area_ratio,min_center_distance,sharpness,contrast,width,height,score,sample_text
Korean,TrainImages/TrainImages/tr_img_05241.jpg,TrainGT/TrainGT/tr_img_05241.txt,tr_img_05241,1,1,1,1.0,4.0,4,0.2069839984178543,0.2069839984178543,0.061286,340.5243,63.3158,1080,1440,95.6587,비상전화
Korean,TrainImages/TrainImages/tr_img_05675.jpg,TrainGT/TrainGT/tr_img_05675.txt,tr_img_05675,1,1,1,1.0,4.0,4,0.16602100431919098,0.16602100431919098,0.170188,430.5405,77.1703,2268,2268,94.6103,샤브샤브
Korean,TrainImages/TrainImages/tr_img_05212.jpg,TrainGT/TrainGT/tr_img_05212.txt,tr_img_05212,1,1,1,1.0,4.0,4,0.15966300666332245,0.15966300666332245,0.111408,1292.6405,52.2656,1080,1440,94.2841,우리은행
Korean,TrainImages/TrainImages/tr_img_05984.jpg,TrainGT/TrainGT/tr_img_05984.txt,tr_img_05984,1,1,1,1.0,2.0,2,0.12466900050640106,0.12466900050640106,0.089627,250.62,70.3777,1440,1080,92.98989868164062,정숙
Korean,TrainImages/TrainImages/tr_img_05370.jpg,TrainGT/TrainGT/tr_img_05370.txt,tr_img_05370,1,1,1,1.0,2.0,2,0.3613080084323883,0.3613080084323883,0.052146,67.3963,78.4008,2268,2268,91.3728,담배
Korean,TrainImages/TrainImages/tr_img_05012.jpg,TrainGT/TrainGT/tr_img_05012.txt,tr_img_05012,1,1,1,1.0,3.0,3,0.3883039951324463,0.3883039951324463,0.02053,107.2991,56.0276,3024,2268,91.126,홍보관
Korean,TrainImages/TrainImages/tr_img_05083.jpg,TrainGT/TrainGT/tr_img_05083.txt,tr_img_05083,2,2,1,1.0,3.5,4,0.3441460132598877,0.2984830141067505,0.107364,421.6005,65.2366,1836,2448,91.1086,"뻥,콩"
Korean,TrainImages/TrainImages/tr_img_05755.jpg,TrainGT/TrainGT/tr_img_05755.txt,tr_img_05755,1,1,1,1.0,5.0,5,0.12193900346755981,0.12193900346755981,0.07605,376.1205,38.265,3120,1755,90.86100006103516,미래하우스
Korean,TrainImages/TrainImages/tr_img_05805.jpg,TrainGT/TrainGT/tr_img_05805.txt,tr_img_05805,22,2,1,1.0,4.5,5,0.19153200089931488,0.10820499807596207,0.121494,520.8224,68.8166,1836,2448,90.4716,한국현대
Korean,TrainImages/TrainImages/tr_img_05054.jpg,TrainGT/TrainGT/tr_img_05054.txt,tr_img_05054,1,1,1,1.0,3.0,3,0.14442600309848785,0.14442600309848785,0.134879,104.8259,69.0407,2448,1836,90.1694,빈그릇
Korean,TrainImages/TrainImages/tr_img_05225.jpg,TrainGT/TrainGT/tr_img_05225.txt,tr_img_05225,2,2,1,1.0,4.5,5,0.3145569860935211,0.2914409935474396,0.059163,10667.6445,49.6475,2448,1836,90.0996,팔리아멘트
Korean,TrainImages/TrainImages/tr_img_05299.jpg,TrainGT/TrainGT/tr_img_05299.txt,tr_img_05299,1,1,1,1.0,3.0,3,0.15715999901294708,0.15715999901294708,0.067268,163.253,33.4949,1836,1836,90.0477,항의길
Korean,TrainImages/TrainImages/tr_img_05658.jpg,TrainGT/TrainGT/tr_img_05658.txt,tr_img_05658,1,1,1,1.0,3.0,3,0.4224640130996704,0.4224640130996704,0.111166,59.0951,73.6316,3024,2268,89.5721,다양한
Korean,TrainImages/TrainImages/tr_img_05144.jpg,TrainGT/TrainGT/tr_img_05144.txt,tr_img_05144,2,1,1,1.0,4.0,4,0.32692500948905945,0.32692500948905945,0.01271,62.8647,54.3581,1836,1836,89.4496,"역주행,"
Korean,TrainImages/TrainImages/tr_img_05456.jpg,TrainGT/TrainGT/tr_img_05456.txt,tr_img_05456,3,2,1,1.0,4.0,4,0.13715499639511108,0.13496600091457367,0.141882,2031.8928,57.1264,1080,1440,89.27790069580078,머리고기
Korean,TrainImages/TrainImages/tr_img_05308.jpg,TrainGT/TrainGT/tr_img_05308.txt,tr_img_05308,6,1,1,1.0,3.0,3,0.12696799635887146,0.12696799635887146,0.063058,93.413,66.9215,1836,2448,89.23079681396484,흥사단
Korean,TrainImages/TrainImages/tr_img_05316.jpg,TrainGT/TrainGT/tr_img_05316.txt,tr_img_05316,2,1,1,1.0,5.0,5,0.25909000635147095,0.25909000635147095,0.008008,57.1469,61.1966,1836,2448,89.2159,코코리빙텔
Korean,TrainImages/TrainImages/tr_img_05200.jpg,TrainGT/TrainGT/tr_img_05200.txt,tr_img_05200,7,1,1,1.0,5.0,5,0.17743299901485443,0.17743299901485443,0.028399,69.9569,60.0494,1836,2448,89.1005,월풀빨래방
Korean,TrainImages/TrainImages/tr_img_05134.jpg,TrainGT/TrainGT/tr_img_05134.txt,tr_img_05134,1,1,1,1.0,4.0,4,0.1824679970741272,0.1824679970741272,0.014921,30.0766,60.4013,2268,3024,89.0964,소화기함
Korean,TrainImages/TrainImages/tr_img_05742.jpg,TrainGT/TrainGT/tr_img_05742.txt,tr_img_05742,1,1,1,1.0,3.0,3,0.21789699792861938,0.21789699792861938,0.161165,64.0527,77.5903,3024,2268,88.8854,귀걸이
