class_name,image_member,gt_member,image_id,total_instances,valid_instances,unique_languages,dominant_ratio,mean_text_len,max_text_len,max_area_ratio,mean_area_ratio,min_center_distance,sharpness,contrast,width,height,score,sample_text
Latin,TrainImages/TrainImages/tr_img_01804.jpg,TrainGT/TrainGT/tr_img_01804.txt,tr_img_01804,1,1,1,1.0,3.0,3,0.16710799932479858,0.16710799932479858,0.002126,1914.1339,76.9515,546,415,97.966,115
Latin,TrainImages/TrainImages/tr_img_01835.jpg,TrainGT/TrainGT/tr_img_01835.txt,tr_img_01835,1,1,1,1.0,3.0,3,0.3790130019187927,0.3790130019187927,0.017306,762.4997,63.9159,770,350,97.2885,BBC
Latin,TrainImages/TrainImages/tr_img_01633.jpg,TrainGT/TrainGT/tr_img_01633.txt,tr_img_01633,1,1,1,1.0,2.0,2,0.2361299991607666,0.2361299991607666,0.002364,284.9388,69.9601,2592,1936,97.1389,61
Latin,TrainImages/TrainImages/tr_img_01530.jpg,TrainGT/TrainGT/tr_img_01530.txt,tr_img_01530,1,1,1,1.0,2.0,2,0.1844410002231598,0.1844410002231598,0.007495,759.5103,49.2819,228,171,97.0669,24
Latin,TrainImages/TrainImages/tr_img_01081.jpg,TrainGT/TrainGT/tr_img_01081.txt,tr_img_01081,1,1,1,1.0,3.0,3,0.17966000735759735,0.17966000735759735,0.06214,1569.3442,72.7361,710,639,97.0058,EAT
Latin,TrainImages/TrainImages/tr_img_01121.jpg,TrainGT/TrainGT/tr_img_01121.txt,tr_img_01121,1,1,1,1.0,3.0,3,0.19095900654792786,0.19095900654792786,0.040155,1120.1306,63.2066,570,855,96.8723,998
Latin,TrainImages/TrainImages/tr_img_01052.jpg,TrainGT/TrainGT/tr_img_01052.txt,tr_img_01052,1,1,1,1.0,3.0,3,0.26399099826812744,0.26399099826812744,0.028439,850.8795,57.3973,640,480,96.6448,314
Latin,TrainImages/TrainImages/tr_img_01644.jpg,TrainGT/TrainGT/tr_img_01644.txt,tr_img_01644,1,1,1,1.0,2.0,2,0.2542870044708252,0.2542870044708252,0.029874,412.8985,48.3534,600,451,96.6425,46
Latin,TrainImages/TrainImages/tr_img_01441.jpg,TrainGT/TrainGT/tr_img_01441.txt,tr_img_01441,1,1,1,1.0,3.0,3,0.2085539996623993,0.2085539996623993,0.061185,1994.374,62.5218,480,359,96.4869,120
Latin,TrainImages/TrainImages/tr_img_01817.jpg,TrainGT/TrainGT/tr_img_01817.txt,tr_img_01817,1,1,1,1.0,2.0,2,0.22080199420452118,0.22080199420452118,0.04109,864.8721,44.9551,600,451,96.2203,42
Latin,TrainImages/TrainImages/tr_img_01220.jpg,TrainGT/TrainGT/tr_img_01220.txt,tr_img_01220,1,1,1,1.0,2.0,2,0.17924800515174866,0.17924800515174866,0.030218,346.9311,40.1047,340,270,95.9777,85
Latin,TrainImages/TrainImages/tr_img_01806.jpg,TrainGT/TrainGT/tr_img_01806.txt,tr_img_01806,1,1,1,1.0,5.0,5,0.17415300011634827,0.17415300011634827,0.014825,973.1857,52.2093,570,1208,95.1587,16781
Latin,TrainImages/TrainImages/tr_img_02853.jpg,TrainGT/TrainGT/tr_img_02853.txt,tr_img_02853,1,1,1,1.0,8.0,8,0.5422679781913757,0.5422679781913757,0.017557,426.37,79.8827,1080,428,94.3858,ateliers
Latin,TrainImages/TrainImages/tr_img_01354.jpg,TrainGT/TrainGT/tr_img_01354.txt,tr_img_01354,1,1,1,1.0,4.0,4,0.12113399803638458,0.12113399803638458,0.033429,6888.9307,71.6421,236,177,94.372802734375,2421
Latin,TrainImages/TrainImages/tr_img_01429.jpg,TrainGT/TrainGT/tr_img_01429.txt,tr_img_01429,1,1,1,1.0,8.0,8,0.32848799228668213,0.32848799228668213,0.034773,782.181,57.6014,610,335,93.2247,Hospital
Latin,TrainImages/TrainImages/tr_img_01024.jpg,TrainGT/TrainGT/tr_img_01024.txt,tr_img_01024,1,1,1,1.0,9.0,9,0.3535290062427521,0.3535290062427521,0.034971,819.1061,64.7635,620,237,93.0664,JobCenter
Latin,TrainImages/TrainImages/tr_img_02991.jpg,TrainGT/TrainGT/tr_img_02991.txt,tr_img_02991,1,1,1,1.0,9.0,9,0.23901499807834625,0.23901499807834625,0.028176,635.8497,62.088,700,525,92.984,BOULANGER
Latin,TrainImages/TrainImages/tr_img_01552.jpg,TrainGT/TrainGT/tr_img_01552.txt,tr_img_01552,2,2,1,1.0,3.5,6,0.25779300928115845,0.12963899970054626,0.016244,445.7595,71.9161,790,510,92.9068,LeVI'S
Latin,TrainImages/TrainImages/tr_img_01455.jpg,TrainGT/TrainGT/tr_img_01455.txt,tr_img_01455,1,1,1,1.0,6.0,6,0.3498989939689636,0.3498989939689636,0.132038,924.2198,56.0849,840,395,92.8935,Google
Latin,TrainImages/TrainImages/tr_img_01112.jpg,TrainGT/TrainGT/tr_img_01112.txt,tr_img_01112,1,1,1,1.0,4.0,4,0.7359930276870728,0.7359930276870728,0.047385,172.5625,71.8392,1048,570,92.5195,8712
