source_dataset,split,image_id,class_name,image_member,label_member,gt_member,selector_score,source_text_reference,target_language,target_translation_reference,annotator_1,annotator_2,notes
ReCTS,val,train_ReCTS_019652,text,rects_yolo_obb_dataset/images/val/train_ReCTS_019652.jpg,rects_yolo_obb_dataset/labels/val/train_ReCTS_019652.txt,gt/train_ReCTS_019652.json,97.3759,陈五味,en,,,,陈五味
ReCTS,val,train_ReCTS_019510,text,rects_yolo_obb_dataset/images/val/train_ReCTS_019510.jpg,rects_yolo_obb_dataset/labels/val/train_ReCTS_019510.txt,gt/train_ReCTS_019510.json,96.8801,夜火烤吧,en,,,,夜火烤吧
ReCTS,val,train_ReCTS_018101,text,rects_yolo_obb_dataset/images/val/train_ReCTS_018101.jpg,rects_yolo_obb_dataset/labels/val/train_ReCTS_018101.txt,gt/train_ReCTS_018101.json,96.5619,陈厨小馆,en,,,,陈厨小馆
ReCTS,val,train_ReCTS_018483,text,rects_yolo_obb_dataset/images/val/train_ReCTS_018483.jpg,rects_yolo_obb_dataset/labels/val/train_ReCTS_018483.txt,gt/train_ReCTS_018483.json,96.2872,木子米粉,en,,,,木子米粉
ReCTS,val,train_ReCTS_018092,text,rects_yolo_obb_dataset/images/val/train_ReCTS_018092.jpg,rects_yolo_obb_dataset/labels/val/train_ReCTS_018092.txt,gt/train_ReCTS_018092.json,96.2362,魚兒大碗面,en,,,,魚兒大碗面
ReCTS,val,train_ReCTS_019587,text,rects_yolo_obb_dataset/images/val/train_ReCTS_019587.jpg,rects_yolo_obb_dataset/labels/val/train_ReCTS_019587.txt,gt/train_ReCTS_019587.json,96.2345,一碗好粉,en,,,,一碗好粉
ReCTS,val,train_ReCTS_019003,text,rects_yolo_obb_dataset/images/val/train_ReCTS_019003.jpg,rects_yolo_obb_dataset/labels/val/train_ReCTS_019003.txt,gt/train_ReCTS_019003.json,96.2206,壹號冰室,en,,,,壹號冰室
ReCTS,val,train_ReCTS_018127,text,rects_yolo_obb_dataset/images/val/train_ReCTS_018127.jpg,rects_yolo_obb_dataset/labels/val/train_ReCTS_018127.txt,gt/train_ReCTS_018127.json,96.0995,牛丸面,en,,,,牛丸面
ReCTS,val,train_ReCTS_019875,text,rects_yolo_obb_dataset/images/val/train_ReCTS_019875.jpg,rects_yolo_obb_dataset/labels/val/train_ReCTS_019875.txt,gt/train_ReCTS_019875.json,96.0861,青田寿司,en,,,,青田寿司
ReCTS,val,train_ReCTS_019535,text,rects_yolo_obb_dataset/images/val/train_ReCTS_019535.jpg,rects_yolo_obb_dataset/labels/val/train_ReCTS_019535.txt,gt/train_ReCTS_019535.json,96.0362,REALM,en,,,,REALM
ReCTS,val,train_ReCTS_018099,text,rects_yolo_obb_dataset/images/val/train_ReCTS_018099.jpg,rects_yolo_obb_dataset/labels/val/train_ReCTS_018099.txt,gt/train_ReCTS_018099.json,95.9401,大家烧豆腐,en,,,,大家烧豆腐
ReCTS,val,train_ReCTS_019194,text,rects_yolo_obb_dataset/images/val/train_ReCTS_019194.jpg,rects_yolo_obb_dataset/labels/val/train_ReCTS_019194.txt,gt/train_ReCTS_019194.json,95.8748,九禾烧烤,en,,,,九禾烧烤
ReCTS,val,train_ReCTS_019927,text,rects_yolo_obb_dataset/images/val/train_ReCTS_019927.jpg,rects_yolo_obb_dataset/labels/val/train_ReCTS_019927.txt,gt/train_ReCTS_019927.json,95.8601,泡面小食堂,en,,,,泡面小食堂
ReCTS,val,train_ReCTS_019581,text,rects_yolo_obb_dataset/images/val/train_ReCTS_019581.jpg,rects_yolo_obb_dataset/labels/val/train_ReCTS_019581.txt,gt/train_ReCTS_019581.json,95.8577,大众小吃,en,,,,大众小吃
ReCTS,val,train_ReCTS_018262,text,rects_yolo_obb_dataset/images/val/train_ReCTS_018262.jpg,rects_yolo_obb_dataset/labels/val/train_ReCTS_018262.txt,gt/train_ReCTS_018262.json,95.8445,大远饭店,en,,,,大远饭店
ReCTS,val,train_ReCTS_019701,text,rects_yolo_obb_dataset/images/val/train_ReCTS_019701.jpg,rects_yolo_obb_dataset/labels/val/train_ReCTS_019701.txt,gt/train_ReCTS_019701.json,95.8207,胖哥凉皮,en,,,,胖哥凉皮
ReCTS,val,train_ReCTS_019145,text,rects_yolo_obb_dataset/images/val/train_ReCTS_019145.jpg,rects_yolo_obb_dataset/labels/val/train_ReCTS_019145.txt,gt/train_ReCTS_019145.json,95.8029,酸萝卜乌鱼,en,,,,酸萝卜乌鱼
ReCTS,val,train_ReCTS_019850,text,rects_yolo_obb_dataset/images/val/train_ReCTS_019850.jpg,rects_yolo_obb_dataset/labels/val/train_ReCTS_019850.txt,gt/train_ReCTS_019850.json,95.6889,川妹子活鱼馆,en,,,,川妹子活鱼馆
ReCTS,val,train_ReCTS_019279,text,rects_yolo_obb_dataset/images/val/train_ReCTS_019279.jpg,rects_yolo_obb_dataset/labels/val/train_ReCTS_019279.txt,gt/train_ReCTS_019279.json,95.602,郭记栗王,en,,,,郭记栗王
ReCTS,val,train_ReCTS_019704,text,rects_yolo_obb_dataset/images/val/train_ReCTS_019704.jpg,rects_yolo_obb_dataset/labels/val/train_ReCTS_019704.txt,gt/train_ReCTS_019704.json,95.5479,肉的主题,en,,,,肉的主题
