image_id,split,image_member,label_member,gt_member,detection_instances,valid_lines,ignored_lines,mean_text_len,max_text_len,max_area_ratio,mean_area_ratio,min_center_distance,sharpness,contrast,width,height,score,source_text_reference,sample_text
train_ReCTS_019652,val,rects_yolo_obb_dataset/images/val/train_ReCTS_019652.jpg,rects_yolo_obb_dataset/labels/val/train_ReCTS_019652.txt,gt/train_ReCTS_019652.json,1,1,0,3.0,3,0.204043,0.204043,0.036093,611.3953,73.4909,588,350,97.3759,陈五味,陈五味
train_ReCTS_019510,val,rects_yolo_obb_dataset/images/val/train_ReCTS_019510.jpg,rects_yolo_obb_dataset/labels/val/train_ReCTS_019510.txt,gt/train_ReCTS_019510.json,1,1,0,4.0,4,0.329525,0.329525,0.019706,400.3745,70.4254,1010,788,96.8801,夜火烤吧,夜火烤吧
train_ReCTS_018101,val,rects_yolo_obb_dataset/images/val/train_ReCTS_018101.jpg,rects_yolo_obb_dataset/labels/val/train_ReCTS_018101.txt,gt/train_ReCTS_018101.json,1,1,0,4.0,4,0.182421,0.182421,0.043568,410.653,80.5411,993,598,96.5619,陈厨小馆,陈厨小馆
train_ReCTS_018483,val,rects_yolo_obb_dataset/images/val/train_ReCTS_018483.jpg,rects_yolo_obb_dataset/labels/val/train_ReCTS_018483.txt,gt/train_ReCTS_018483.json,1,1,0,4.0,4,0.276157,0.276157,0.064172,1453.5999,71.5245,1146,636,96.2872,木子米粉,木子米粉
train_ReCTS_018092,val,rects_yolo_obb_dataset/images/val/train_ReCTS_018092.jpg,rects_yolo_obb_dataset/labels/val/train_ReCTS_018092.txt,gt/train_ReCTS_018092.json,1,1,0,5.0,5,0.261884,0.261884,0.006954,556.1204,68.8372,894,282,96.2362,魚兒大碗面,魚兒大碗面
train_ReCTS_019587,val,rects_yolo_obb_dataset/images/val/train_ReCTS_019587.jpg,rects_yolo_obb_dataset/labels/val/train_ReCTS_019587.txt,gt/train_ReCTS_019587.json,1,1,0,4.0,4,0.287757,0.287757,0.03494,741.9825,64.8379,1274,520,96.2345,一碗好粉,一碗好粉
train_ReCTS_019003,val,rects_yolo_obb_dataset/images/val/train_ReCTS_019003.jpg,rects_yolo_obb_dataset/labels/val/train_ReCTS_019003.txt,gt/train_ReCTS_019003.json,1,1,0,4.0,4,0.169818,0.169818,0.018259,838.9778,76.014,639,292,96.22059631347656,壹號冰室,壹號冰室
train_ReCTS_018127,val,rects_yolo_obb_dataset/images/val/train_ReCTS_018127.jpg,rects_yolo_obb_dataset/labels/val/train_ReCTS_018127.txt,gt/train_ReCTS_018127.json,1,1,0,3.0,3,0.233514,0.233514,0.126202,861.9235,69.1262,852,346,96.0995,牛丸面,牛丸面
train_ReCTS_019875,val,rects_yolo_obb_dataset/images/val/train_ReCTS_019875.jpg,rects_yolo_obb_dataset/labels/val/train_ReCTS_019875.txt,gt/train_ReCTS_019875.json,1,1,0,4.0,4,0.293445,0.293445,0.077808,615.5746,69.7742,954,544,96.0861,青田寿司,青田寿司
train_ReCTS_019535,val,rects_yolo_obb_dataset/images/val/train_ReCTS_019535.jpg,rects_yolo_obb_dataset/labels/val/train_ReCTS_019535.txt,gt/train_ReCTS_019535.json,1,1,0,5.0,5,0.279919,0.279919,0.029425,700.3074,70.8856,660,302,96.0362,REALM,REALM
train_ReCTS_018099,val,rects_yolo_obb_dataset/images/val/train_ReCTS_018099.jpg,rects_yolo_obb_dataset/labels/val/train_ReCTS_018099.txt,gt/train_ReCTS_018099.json,1,1,0,5.0,5,0.198213,0.198213,0.036632,406.5164,80.7072,1522,548,95.9401,大家烧豆腐,大家烧豆腐
train_ReCTS_019194,val,rects_yolo_obb_dataset/images/val/train_ReCTS_019194.jpg,rects_yolo_obb_dataset/labels/val/train_ReCTS_019194.txt,gt/train_ReCTS_019194.json,1,1,0,4.0,4,0.29828,0.29828,0.026291,751.9749,59.2963,994,302,95.8748,九禾烧烤,九禾烧烤
train_ReCTS_019927,val,rects_yolo_obb_dataset/images/val/train_ReCTS_019927.jpg,rects_yolo_obb_dataset/labels/val/train_ReCTS_019927.txt,gt/train_ReCTS_019927.json,1,1,0,5.0,5,0.182904,0.182904,0.042638,2909.3381,71.9748,746,289,95.8601,泡面小食堂,泡面小食堂
train_ReCTS_019581,val,rects_yolo_obb_dataset/images/val/train_ReCTS_019581.jpg,rects_yolo_obb_dataset/labels/val/train_ReCTS_019581.txt,gt/train_ReCTS_019581.json,1,1,0,4.0,4,0.202082,0.202082,0.027318,595.9396,59.2557,919,419,95.8577,大众小吃,大众小吃
train_ReCTS_018262,val,rects_yolo_obb_dataset/images/val/train_ReCTS_018262.jpg,rects_yolo_obb_dataset/labels/val/train_ReCTS_018262.txt,gt/train_ReCTS_018262.json,1,1,0,4.0,4,0.328563,0.328563,0.037007,1185.2296,60.6097,1274,335,95.8445,大远饭店,大远饭店
train_ReCTS_019701,val,rects_yolo_obb_dataset/images/val/train_ReCTS_019701.jpg,rects_yolo_obb_dataset/labels/val/train_ReCTS_019701.txt,gt/train_ReCTS_019701.json,1,1,0,4.0,4,0.334768,0.334768,0.011192,653.7864,56.3156,714,644,95.8207,胖哥凉皮,胖哥凉皮
train_ReCTS_019145,val,rects_yolo_obb_dataset/images/val/train_ReCTS_019145.jpg,rects_yolo_obb_dataset/labels/val/train_ReCTS_019145.txt,gt/train_ReCTS_019145.json,1,1,0,5.0,5,0.539185,0.539185,0.041439,2856.7283,69.1462,1274,243,95.8029,酸萝卜乌鱼,酸萝卜乌鱼
train_ReCTS_019850,val,rects_yolo_obb_dataset/images/val/train_ReCTS_019850.jpg,rects_yolo_obb_dataset/labels/val/train_ReCTS_019850.txt,gt/train_ReCTS_019850.json,1,1,0,6.0,6,0.32064,0.32064,0.001904,2701.1658,75.2074,668,232,95.6889,川妹子活鱼馆,川妹子活鱼馆
train_ReCTS_019279,val,rects_yolo_obb_dataset/images/val/train_ReCTS_019279.jpg,rects_yolo_obb_dataset/labels/val/train_ReCTS_019279.txt,gt/train_ReCTS_019279.json,1,1,0,4.0,4,0.34701,0.34701,0.021398,295.0692,72.7292,1274,510,95.602,郭记栗王,郭记栗王
train_ReCTS_019704,val,rects_yolo_obb_dataset/images/val/train_ReCTS_019704.jpg,rects_yolo_obb_dataset/labels/val/train_ReCTS_019704.txt,gt/train_ReCTS_019704.json,1,1,0,4.0,4,0.163395,0.163395,0.036596,1741.3513,71.4751,688,452,95.54789733886719,肉的主题,肉的主题
